"id","severite","categorie","titre","fichier","lignes","preuve_commande","impact","sprint","statut"
"SEC-01","P0-bloquant","Sécurité","Fichier d'identifiants toujours téléchargeable sur une branche publique","raw/identifiants_cognitorium.2026-08-02T23-22-22.json","(objet git, présent sur origin/arena/01a034f2-proto-cognitorium)","git cat-file -p origin/arena/01a034f2-proto-cognitorium:raw/identifiants_cognitorium.2026-08-02T23-22-22.json -> 197 octets, cles 'Identifiant client' (80 car.) et 'Cle secrete' (64 car.). Repo public: gh api repos/Sathancabrol/proto-cognitorium --jq .private -> false","Exposition publique de credentials depuis 2026-08-24 (15 j). Contredit COGNITORIUM/docs/audits/security/001-security.md qui le declare 'purge (verifie) OK'","S0","Ouvert"
"SEC-02","P0-bloquant","RGPD / conformité","Donnees personnelles de tiers et documents d'entreprise dans raw/ (depot public)","raw/","61 fichiers / 62 Mo","ls raw -> 5 CV nominatifs (AMELIE_CRUAGNES, gianni x2, Benoit_Bonnamant, Pierre DENIAUD), devis, 5 dossiers chantier .xlsm, TARIFS LOCATION, inventaires, pv de marquage, Questionnaire d'information(1-54).xlsx","Exposition de tiers sans consentement documente ; donnees potentiellement sensibles","S0","Ouvert"
"SEC-02b","P0-bloquant","RGPD / conformité","6 adresses e-mail reelles codees en dur et affichees/exportees","src/data/*.ts","(champs email des 6 profils)","grep -rho '[a-zA-Z0-9._%+-]*@[a-zA-Z0-9.-]*' src/data/*.ts | sort -u -> ameliecruagnes@gmail.com, gianniducoeur@gmail.com, lea.martin.data@gmail.com, nathancabrol@hotmail.fr, peterde@hotmail.fr, thomas.valadier.btp@gmail.com","Affichees par CognitiveSignature (capture: 'Frontignan (34110) nathancabrol@hotmail.fr') et exportees par 'Exporter Passeport (JSON)'","S0","Ouvert"
"ROME-01","P0-bloquant","Moteur ROME","computeAllRomeMatches renvoie 0 metier pour 3 profils sur 6, dont le profil de reference","src/utils/romeMatching.ts","193 (garde-fou exactCount===0) ; 57-87 (getRomeCodesForSkill)","node tools/audit/rome-diagnostic.mjs -> Nathan 0 correspondance (EXACT=0/19, FUZZY=18), Lea 0 (0/2), Thomas 0 (0/2). 369 fiches ROME touchees par le flou sont ecartees","La vue phare 'Mes possibilites' affiche 'Top 0 correspondances calculees depuis votre profil'","S1","Ouvert"
"ROME-02","P0-bloquant","Moteur ROME","La recherche par code ROME ne fonctionne pas alors que l'UI l'annonce","src/utils/romeMatching.ts","295 (hay = libelle + grandDomaine + domaine, jamais fiche.code)","searchRomeFiches('M1412'|'K1106'|'F1208') -> 0 resultat ; 'K11' -> 5 (par accident, branche prefixe). Le placeholder HorizonsBridge.tsx:239 dit 'Ex : psychologue, M1805, data...'","Fonction annoncee, non livree","S1","Ouvert"
"ROME-03","P1-majeur","Moteur ROME","Troncature arbitraire a 40 codes flous : le classement depend de l'ordre d'une Map","src/utils/romeMatching.ts","84 (if (out.length >= 40) break;)","18/19 competences de Nathan, 13/16 de Gianni, 5/9 d'Amelie atteignent le plafond de 40, sans tri par pertinence","Un moteur 'explicable' dont la sortie depend d'un ordre de hachage n'est pas explicable","S1","Ouvert"
"IA-01","P0-bloquant","IA / intégrité","Sans GEMINI_API_KEY, les 3 routes renvoient des donnees inventees presentees comme des resultats","server.ts","57, 342 (source:'local_engine') ; 43-100 ; 339-362 ; 429-460","curl POST /api/explore-horizons -> toujours 'Ingenieur d'Integration & Resilience des Systemes' matchScore 89, quel que soit l'entree. /api/distill-experience -> toujours les memes 2 competences (85, 88). grep -rn 'local_engine' src/ -> 0 occurrence","La preview publique tourne sans cle : tout visiteur voit des chiffres inventes. Contredit la promesse 'l'IA propose, l'humain valide'","S1","Ouvert"
"IA-02","P0-bloquant","IA / intégrité","OnboardingModal cree des aretes 'tout vers tout' - le bug que CONSOLIDATION.md declare corrige","src/components/OnboardingModal.tsx","96-134 (demonstrates_skill x toutes, feeds_capacity x toutes, capacities[0] -> tous les metiers)","Lecture du code : tasks.forEach -> skills.forEach (aretes fictives) ; potentialJobs -> capacities[0]. CONSOLIDATION.md point 11 annonce 'Fini toutes les competences -> toutes les capacites'","Le graphe affiche apres un import CV par l'onboarding est du bruit presente comme tracable","S2","Ouvert"
"IA-02b","P1-majeur","IA / intégrité","Profil cree par onboarding : indices cognitifs magiques sur un profil vide","src/components/OnboardingModal.tsx","145 (transferabilityIndex: 85), 146-147 (adaptabilityIndex: 88, learningVelocity 'Elevee')","Lecture du code ; /api/synthesize-profile en repli renvoie aussi 88 / 'Exceptionnelle' / 92 pour {allSkills:[{name:'a'}]}","Des nombres presentes comme des mesures sur un profil sans aucune donnee","S2","Ouvert"
"DATA-01","P1-majeur","Données","Les horizons codes en dur contredisent le moteur, sur le meme ecran","src/data/*Profile.ts ; src/components/DashboardView.tsx","DashboardView.tsx:60 (topHorizons = noeuds horizon_job codes en dur)","node tools/audit/rome-diagnostic.mjs section F -> Nathan 5 horizons codes en dur (97,96,94,93,90) confirmes par le moteur: 0/5. Lea 0/1, Thomas 0/1, Gianni 3/4","Le dashboard affiche 'Tres Elevee' pour des metiers que le moteur ne trouve pas","S2","Ouvert"
"DATA-02","P1-majeur","Données / UX","Deux vocabulaires de compatibilite coexistent (7 valeurs pour 2 echelles)","src/types.ts","138","compatibilityLevel?: 'Elevee'|'Tres Elevee'|'Tres forte'|'Forte'|'Moderee'|'En developpement'|'A explorer' ; le moteur (COMPATIBILITY_LABELS) n'en produit que 4","Dashboard dit 'Tres Elevee', vue horizons dit 'Tres forte' pour le meme objet","S2","Ouvert"
"DATA-03","P1-majeur","Données","2 profils sont des coquilles (8 noeuds, 2 competences) et sortent a 0 du moteur","src/data/studentProfile.ts ; src/data/transitionProfile.ts","(fichiers entiers, 218 et 214 lignes)","node tools/audit/data-audit.mjs -> Lea Martin 8 noeuds / 2 competences / 1 horizon ; Thomas Valadier 8 noeuds / 2 competences","Proposes dans le selecteur au meme titre que les 4 profils reels ; demo qui ne demontre rien","S3","Ouvert"
"DATA-03b","P1-majeur","Données","Le niveau 'tache' du modele a 5 niveaux est quasi vide","src/data/*Profile.ts","(noeuds category='task')","Gianni 2 taches / 16 competences ; Amelie 2/9 ; Pierre 3/14 ; Nathan 8/19","computeFicheMatch remonte demonstrates_skill -> composed_of -> experience : sans tache, le panneau 'Experiences reliees' reste vide et la tracabilite n'est pas demonstrable","S3","Ouvert"
"DATA-03c","P2-mineur","Données / UX","Profil Pierre DENIAUD s'arrete en 2013 pour une simulation en 2026","src/data/pierreProfile.ts","(startYear/endYear des experiences)","node tools/audit/data-audit.mjs -> periode 2006-2013 ; node tools/audit/data-audit.mjs section 2 -> vitalites 2026 de 33%, 32%, 29%","Un profil de demo affiche 'tout est dormant' sans explication","S2","Ouvert"
