id,titre,auteurs,annee,folder,licence,niveau_preuve,legal,url,priorite
openstax-psy-2e,Psychology 2e,"Spielman, Jenkins & Lovett",2020,01_Generalites_Methodologie,CC BY 4.0,E,oer,https://openstax.org/details/books/psychology-2e,1
rmp-4e,Research Methods in Psychology 4e,"Jhangiani, Chiang, Cuttler & Leighton",2019,01_Generalites_Methodologie,CC BY-NC-SA 4.0,C,oer,https://kpu.pressbooks.pub/psychmethods4e/,1
mehta-memory,Memory & Cognition,Mehta P.,2026,02_Cognition_Neurosciences,CC BY-NC-SA,C,oer,https://open.umn.edu/opentextbooks/textbooks/memory-cognition,1
hove-martinez-biopsych,Biological Psychology Revised,"Hove & Martinez",2024,02_Cognition_Neurosciences,CC BY-NC-SA,C,oer,https://open.umn.edu/opentextbooks/textbooks/1626,1
lally-lifespan-4e,Lifespan Development 4e,"Lally & Valentine-French",2022,03_Developpement_Education,CC BY-NC-SA 4.0,C,oer,https://socialsci.libretexts.org/Bookshelves/Human_Development/Lifespan_Development%3A_A_Psychological_Perspective_4e_(Lally_and_Valentine-French),1
seifert-sutton,Educational Psychology,"Seifert & Sutton",2022,03_Developpement_Education,CC BY 4.0,C,oer,https://socialsci.libretexts.org/Bookshelves/Education_and_Professional_Development/Educational_Psychology_(Seifert_and_Sutton),1
hornbaek-hci,Introduction to HCI,"Hornbæk, Kristensson & Oulasvirta",2025,07_Ergonomie_IHM_UX,CC BY-NC-ND 4.0,C,oer,https://academic.oup.com/book/59525,1
ixdf-encyclopedia,Encyclopedia of HCI 2e,IxDF,2e,07_Ergonomie_IHM_UX,lecture IxDF,D,oer,https://www.interaction-design.org/literature/book/the-encyclopedia-of-human-computer-interaction-2nd-ed,2
icd11-browser,CIM-11 MMS,OMS,2024-2026,10_Normes_Recommandations,licence OMS,N,institutionnel,https://icd.who.int/browse/latest-release/mms/en,1
psytoolkit,PsyToolkit Experiment Library,Stoet G.,continu,09_Experimentations_Paradigmes,conditions PsyToolkit,B,oer,https://www.psytoolkit.org/experiment-library/,1
garrett-commercial,Brain & Behavior SAGE,Garrett B.,2015,02_Cognition_Neurosciences,tous droits,C,commercial-ne-pas-telecharger,https://us.sagepub.com/,5
